Attribute,Time stamp,x,y,z
Euler,261815,3.7662506103515625,-5.3780059814453125,17.615814208984375
Euler,261820,3.7494659423828125,-5.6873931884765625,17.330352783203125
Euler,261826,3.7416229248046875,-6.087921142578125,17.042190551757812
Euler,261830,3.7390899658203125,-6.5407867431640625,16.749374389648438
Euler,261835,3.734405517578125,-6.974365234375,16.44976806640625
Euler,261840,3.718353271484375,-7.3609161376953125,16.149322509765625
Euler,261845,3.689697265625,-7.702911376953125,15.855117797851562
Euler,261851,3.6494140625,-7.9707794189453125,15.563400268554688
Euler,261855,3.5957794189453125,-8.15850830078125,15.276763916015625
Euler,261860,3.5230712890625,-8.286727905273438,15.000701904296875
Euler,261865,3.4376068115234375,-8.352218627929688,14.74468994140625
Euler,261870,3.33807373046875,-8.317001342773438,14.515090942382812
Euler,261875,3.2219696044921875,-8.160049438476562,14.314544677734375
Euler,261880,3.097930908203125,-7.90740966796875,14.1407470703125
Euler,261885,2.9691009521484375,-7.5937347412109375,13.990554809570312
Euler,261890,2.8351898193359375,-7.26434326171875,13.861740112304688
Euler,261895,2.7008819580078125,-6.96331787109375,13.753311157226562
Euler,261901,2.5709228515625,-6.71343994140625,13.661972045898438
Euler,261905,2.44970703125,-6.497802734375,13.583770751953125
Euler,261910,2.3468017578125,-6.291839599609375,13.514877319335938
Euler,261915,2.270294189453125,-6.101715087890625,13.45428466796875
Euler,261920,2.2237548828125,-5.95556640625,13.403152465820312
Euler,261925,2.2045135498046875,-5.8983154296875,13.360382080078125
Euler,261930,2.2039642333984375,-5.9189300537109375,13.321624755859375
Euler,261935,2.2171478271484375,-5.976104736328125,13.282943725585938
Euler,261940,2.24029541015625,-6.0650634765625,13.240890502929688
Euler,261945,2.268280029296875,-6.2061004638671875,13.184036254882812
Euler,261950,2.2708282470703125,-6.419769287109375,13.09716796875
Euler,261955,2.246673583984375,-6.725372314453125,12.956024169921875
Euler,261962,2.2285003662109375,-7.066162109375,12.733901977539062
Euler,261965,2.195831298828125,-7.3798828125,12.402984619140625
Euler,261970,2.10552978515625,-7.7018585205078125,11.948501586914062
Euler,261975,1.9467926025390625,-8.097686767578125,11.37640380859375
Euler,261980,1.71307373046875,-8.6405029296875,10.695037841796875
Euler,261987,1.4088897705078125,-9.360092163085938,9.913345336914062
Euler,261990,1.0448455810546875,-10.221511840820312,9.04302978515625
Euler,261996,0.6378631591796875,-11.190322875976562,8.10760498046875
Euler,262000,0.2017974853515625,-12.221832275390625,7.14678955078125
Euler,262005,-0.2493438720703125,-13.21710205078125,6.1927032470703125
Euler,262011,-0.6856536865234375,-14.096694946289062,5.2774658203125
Euler,262015,-1.0675201416015625,-14.845993041992188,4.449310302734375
Euler,262020,-1.365936279296875,-15.45819091796875,3.7357635498046875
