Attribute,Time stamp,heading
Heading,387705,14.660171508789062
Heading,387710,14.609970092773438
Heading,387715,14.554443359375
Heading,387723,14.491378784179688
Heading,387725,14.419296264648438
Heading,387730,14.339584350585938
Heading,387736,14.242996215820312
Heading,387740,14.169677734375
Heading,387745,14.110549926757812
Heading,387750,14.070388793945312
Heading,387755,14.051422119140625
Heading,387761,14.242477416992188
Heading,387765,14.256027221679688
Heading,387771,14.27459716796875
Heading,387775,14.293243408203125
Heading,387780,14.305816650390625
Heading,387786,14.429183959960938
Heading,387790,14.417022705078125
Heading,387795,14.392333984375
Heading,387800,14.360214233398438
Heading,387805,14.326797485351562
Heading,387811,14.35052490234375
Heading,387815,14.322601318359375
Heading,387821,14.298660278320312
Heading,387825,14.280120849609375
Heading,387830,14.266647338867188
Heading,387836,14.420974731445312
Heading,387840,14.408859252929688
Heading,387845,14.396942138671875
Heading,387850,14.381378173828125
Heading,387855,14.358383178710938
Heading,387861,14.355850219726562
Heading,387865,14.307037353515625
Heading,387871,14.24346923828125
Heading,387875,14.168014526367188
Heading,387880,14.082733154296875
Heading,387885,14.035675048828125
Heading,387890,13.944869995117188
Heading,387895,13.85638427734375
Heading,387900,13.767852783203125
Heading,387905,13.676040649414062
Heading,387911,13.500503540039062
Heading,387915,13.397552490234375
Heading,387920,13.289306640625
Heading,387925,13.175979614257812
Heading,387930,13.060134887695312
Heading,387935,13.005264282226562
Heading,387940,12.891021728515625
Heading,387945,12.7818603515625
Heading,387950,12.677536010742188
Heading,387955,12.577850341796875
Heading,387961,12.53082275390625
Heading,387965,12.430526733398438
Heading,387970,12.331008911132812
Heading,387975,12.235198974609375
Heading,387980,12.140060424804688
Heading,387985,12.060760498046875
Heading,387990,11.9622802734375
Heading,387995,11.866424560546875
Heading,388000,11.782608032226562
Heading,388005,11.72021484375
Heading,388011,11.725326538085938
Heading,388015,11.710403442382812
Heading,388020,11.71368408203125
Heading,388025,11.729751586914062
Heading,388030,11.753204345703125
Heading,388035,11.761947631835938
Heading,388040,11.792587280273438
Heading,388045,11.82354736328125
Heading,388050,11.852005004882812
Heading,388055,11.875350952148438
Heading,388061,11.86553955078125
Heading,388065,11.8734130859375
Heading,388070,11.871246337890625
Heading,388075,11.859329223632812
Heading,388080,11.840133666992188
Heading,388085,11.822372436523438
Heading,388090,11.802047729492188
Heading,388097,11.783920288085938
Heading,388100,11.768341064453125
Heading,388105,11.758438110351562
