Attribute,Time stamp,x,y,z
Gyroscope,156496,11.122695922851562,-3.5610198974609375,4.82177734375
Gyroscope,156498,10.756484985351562,-3.7441253662109375,4.69970703125
Gyroscope,156500,10.268203735351562,-4.1713714599609375,4.45556640625
Gyroscope,156501,9.535781860351562,-4.6596527099609375,4.150390625
Gyroscope,156502,8.986465454101562,-5.1479339599609375,3.7841796875
Gyroscope,156503,8.437149047851562,-5.6972503662109375,3.5400390625
Gyroscope,156503,7.8267974853515625,-6.5517425537109375,3.23486328125
Gyroscope,156504,6.9112701416015625,-7.5893402099609375,2.86865234375
Gyroscope,156505,5.9347076416015625,-8.565902709960938,2.44140625
Gyroscope,156506,5.0191802978515625,-9.664535522460938,2.01416015625
Gyroscope,156507,4.0426177978515625,-10.763168334960938,1.5869140625
Gyroscope,156508,3.1270904541015625,-11.800765991210938,1.0986328125
Gyroscope,156509,2.2115631103515625,-12.899398803710938,0.67138671875
Gyroscope,156510,1.4181060791015625,-13.998031616210938,0.3662109375
Gyroscope,156511,0.6856842041015625,-15.035629272460938,0.18310546875
Gyroscope,156512,-0.2298431396484375,-15.829086303710938,0.06103515625
Gyroscope,156513,-1.2064056396484375,-16.622543334960938,-0.244140625
Gyroscope,156513,-2.2440032958984375,-17.416000366210938,-0.54931640625
Gyroscope,156514,-3.0984954833984375,-18.026351928710938,-0.8544921875
Gyroscope,156515,-3.6478118896484375,-18.575668334960938,-1.0986328125
Gyroscope,156516,-4.2581634521484375,-19.002914428710938,-1.15966796875
Gyroscope,156517,-4.8685150146484375,-19.308090209960938,-1.3427734375
Gyroscope,156518,-5.5399017333984375,-19.552230834960938,-1.52587890625
Gyroscope,156520,-6.1502532958984375,-19.796371459960938,-1.5869140625
Gyroscope,156522,-6.8216400146484375,-19.918441772460938,-1.708984375
Gyroscope,156523,-7.3099212646484375,-19.918441772460938,-1.8310546875
Gyroscope,156523,-7.9202728271484375,-19.674301147460938,-2.0751953125
Gyroscope,156524,-8.469589233398438,-19.369125366210938,-2.3193359375
Gyroscope,156525,-9.018905639648438,-19.063949584960938,-2.5634765625
Gyroscope,156526,-9.629257202148438,-18.758773803710938,-2.8076171875
Gyroscope,156527,-10.361679077148438,-18.575668334960938,-3.0517578125
Gyroscope,156528,-11.216171264648438,-18.148422241210938,-3.2958984375
Gyroscope,156528,-11.948593139648438,-17.416000366210938,-3.47900390625
Gyroscope,156529,-12.497909545898438,-16.561508178710938,-3.5400390625
Gyroscope,156531,-13.108261108398438,-15.829086303710938,-3.60107421875
Gyroscope,156532,-13.962753295898438,-15.096664428710938,-3.662109375
Gyroscope,156533,-14.756210327148438,-14.364242553710938,-3.72314453125
Gyroscope,156533,-15.366561889648438,-13.631820678710938,-3.90625
Gyroscope,156534,-15.915878295898438,-12.899398803710938,-3.96728515625
Gyroscope,156535,-16.465194702148438,-12.228012084960938,-3.7841796875
Gyroscope,156536,-17.075546264648438,-11.617660522460938,-3.662109375
Gyroscope,156537,-17.807968139648438,-10.946273803710938,-3.662109375
Gyroscope,156538,-18.296249389648438,-10.213851928710938,-3.662109375
Gyroscope,156539,-18.601425170898438,-9.603500366210938,-3.5400390625
Gyroscope,156540,-19.028671264648438,-8.871078491210938,-3.35693359375
Gyroscope,156542,-19.455917358398438,-8.138656616210938,-3.173828125
Gyroscope,156544,-19.700057983398438,-7.5283050537109375,-2.99072265625
Gyroscope,156545,-19.883163452148438,-7.1620941162109375,-2.8076171875
Gyroscope,156545,-20.066268920898438,-6.8569183349609375,-2.44140625
Gyroscope,156546,-20.432479858398438,-6.6127777099609375,-2.197265625
Gyroscope,156547,-20.981796264648438,-6.4296722412109375,-1.953125
Gyroscope,156548,-21.286972045898438,-6.0634613037109375,-1.64794921875
Gyroscope,156549,-21.409042358398438,-5.8193206787109375,-1.40380859375
Gyroscope,156549,-21.531112670898438,-5.5751800537109375,-1.28173828125
Gyroscope,156550,-21.836288452148438,-5.2700042724609375,-1.0986328125
Gyroscope,156551,-22.141464233398438,-4.9037933349609375,-0.91552734375
Gyroscope,156553,-22.263534545898438,-4.4765472412109375,-0.67138671875
Gyroscope,156554,-22.263534545898438,-3.9882659912109375,-0.54931640625
Gyroscope,156555,-22.324569702148438,-3.3779144287109375,-0.42724609375
Gyroscope,156555,-22.385604858398438,-2.7675628662109375,-0.244140625
Gyroscope,156556,-22.324569702148438,-2.0961761474609375,0.0
Gyroscope,156557,-22.080429077148438,-1.3027191162109375,0.1220703125
Gyroscope,156558,-21.714218139648438,-0.4482269287109375,0.244140625
Gyroscope,156559,-21.348007202148438,0.3452301025390625,0.30517578125
Gyroscope,156560,-20.859725952148438,1.0776519775390625,0.3662109375
Gyroscope,156561,-20.066268920898438,1.8711090087890625,0.42724609375
Gyroscope,156562,-19.211776733398438,2.7866363525390625,0.244140625
Gyroscope,156564,-18.357284545898438,3.7021636962890625,0.18310546875
Gyroscope,156566,-17.258651733398438,4.4345855712890625,0.18310546875
Gyroscope,156567,-16.037948608398438,5.0449371337890625,0.30517578125
Gyroscope,156567,-14.878280639648438,5.5942535400390625,0.42724609375
Gyroscope,156568,-13.779647827148438,6.0214996337890625,0.6103515625
Gyroscope,156569,-12.864120483398438,6.3877105712890625,0.732421875
Gyroscope,156570,-11.826522827148438,6.6318511962890625,0.732421875
Gyroscope,156571,-10.605819702148438,6.8149566650390625,0.54931640625
Gyroscope,156572,-9.446151733398438,7.0590972900390625,0.42724609375
Gyroscope,156572,-8.408554077148438,7.1811676025390625,0.42724609375
Gyroscope,156573,-7.5540618896484375,7.3032379150390625,0.54931640625
Gyroscope,156575,-6.7606048583984375,7.3642730712890625,0.54931640625
Gyroscope,156576,-5.9061126708984375,7.3032379150390625,0.48828125
Gyroscope,156576,-5.1126556396484375,7.0590972900390625,0.48828125
Gyroscope,156577,-4.2581634521484375,6.8149566650390625,0.48828125
