Attribute,Time stamp,x,y,z
Magnetometer,205152,-10.349578857421875,-152.69378662109375,-84.74655151367188
Magnetometer,205163,-8.849639892578125,-151.19384765625,-85.34652709960938
Magnetometer,205174,-8.849639892578125,-153.44375610351562,-84.74655151367188
Magnetometer,205185,-8.09967041015625,-150.44387817382812,-85.04653930664062
Magnetometer,205196,-6.5997314453125,-152.24380493164062,-86.396484375
Magnetometer,205208,-6.749725341796875,-150.29388427734375,-85.94650268554688
Magnetometer,205219,-6.749725341796875,-149.993896484375,-86.24649047851562
Magnetometer,205230,-6.5997314453125,-149.3939208984375,-87.89642333984375
Magnetometer,205241,-5.69976806640625,-151.34384155273438,-87.74642944335938
Magnetometer,205252,-4.1998291015625,-150.5938720703125,-87.29644775390625
Magnetometer,205263,-4.1998291015625,-149.993896484375,-88.79638671875
Magnetometer,205274,-3.89984130859375,-148.04397583007812,-88.34640502929688
Magnetometer,205285,-3.749847412109375,-150.14389038085938,-86.396484375
Magnetometer,205296,-4.49981689453125,-149.3939208984375,-87.44644165039062
Magnetometer,205306,-2.9998779296875,-149.3939208984375,-87.44644165039062
Magnetometer,205318,-4.049835205078125,-148.34396362304688,-87.89642333984375
Magnetometer,205329,-2.9998779296875,-149.3939208984375,-87.89642333984375
Magnetometer,205340,-2.39990234375,-147.74398803710938,-87.74642944335938
Magnetometer,205351,-1.949920654296875,-148.34396362304688,-88.49639892578125
Magnetometer,205362,-1.349945068359375,-147.44400024414062,-87.74642944335938
Magnetometer,205373,-0.449981689453125,-147.593994140625,-87.44644165039062
Magnetometer,205384,-2.249908447265625,-146.54403686523438,-87.89642333984375
Magnetometer,205395,-1.199951171875,-146.54403686523438,-88.94638061523438
Magnetometer,205406,0.0,-147.14401245117188,-88.1964111328125
Magnetometer,205417,-0.29998779296875,-147.44400024414062,-88.34640502929688
Magnetometer,205428,1.049957275390625,-145.7940673828125,-89.996337890625
Magnetometer,205439,0.5999755859375,-147.89398193359375,-86.84646606445312
Magnetometer,205450,1.049957275390625,-146.54403686523438,-89.69635009765625
Magnetometer,205461,1.49993896484375,-146.69403076171875,-89.09637451171875
Magnetometer,205472,2.09991455078125,-146.84402465820312,-89.996337890625
Magnetometer,205483,1.349945068359375,-146.84402465820312,-89.69635009765625
Magnetometer,205494,0.0,-147.89398193359375,-89.24636840820312
Magnetometer,205505,1.049957275390625,-146.84402465820312,-88.94638061523438
Magnetometer,205516,2.9998779296875,-146.9940185546875,-90.44631958007812
Magnetometer,205527,3.449859619140625,-148.7939453125,-91.1962890625
Magnetometer,205538,3.449859619140625,-146.9940185546875,-91.94625854492188
Magnetometer,205549,3.89984130859375,-147.89398193359375,-92.84622192382812
Magnetometer,205560,2.849884033203125,-148.34396362304688,-92.09625244140625
Magnetometer,205571,4.349822998046875,-149.3939208984375,-92.09625244140625
Magnetometer,205582,4.49981689453125,-146.69403076171875,-90.14633178710938
