Attribute,Time stamp,w,x,y,z
Quaternion,312134,0.8484560251235962,0.06874410063028336,-0.06581790745258331,-0.5206388235092163
Quaternion,312139,0.8490238189697266,0.06923819333314896,-0.06528114527463913,-0.5197144150733948
Quaternion,312145,0.849336564540863,0.06991623342037201,-0.06500021368265152,-0.5191475749015808
Quaternion,312149,0.8494062423706055,0.07049679756164551,-0.0650724321603775,-0.5189459919929504
Quaternion,312154,0.8493325114250183,0.07092879712581635,-0.06545255333185196,-0.5189598798751831
Quaternion,312159,0.8492168188095093,0.0712752491235733,-0.0658516064286232,-0.5190513134002686
Quaternion,312164,0.8491529226303101,0.07156839221715927,-0.06604523956775665,-0.5190908312797546
Quaternion,312171,0.8491582274436951,0.07182224094867706,-0.06594923138618469,-0.5190591812133789
Quaternion,312174,0.8491972088813782,0.07199358940124512,-0.06560568511486053,-0.5190154910087585
Quaternion,312179,0.8492295145988464,0.07197288423776627,-0.06518849730491638,-0.5190179347991943
Quaternion,312184,0.8492546081542969,0.07172108441591263,-0.06486239284276962,-0.5190525054931641
Quaternion,312189,0.8492870926856995,0.07130532711744308,-0.06462555378675461,-0.5190863609313965
Quaternion,312194,0.8493717312812805,0.07079525291919708,-0.06440721452236176,-0.5190447568893433
Quaternion,312199,0.8495385050773621,0.07028795033693314,-0.06416437774896622,-0.5188708901405334
Quaternion,312204,0.8497627973556519,0.06982879340648651,-0.06384363770484924,-0.5186049342155457
Quaternion,312209,0.8500082492828369,0.06936950981616974,-0.06349289417266846,-0.5183074474334717
Quaternion,312214,0.8502452373504639,0.0688982680439949,-0.06323614716529846,-0.5180127620697021
Quaternion,312219,0.8504825830459595,0.06837864220142365,-0.06308674812316895,-0.5177102088928223
Quaternion,312224,0.8507396578788757,0.06789122521877289,-0.0630418211221695,-0.517357349395752
Quaternion,312230,0.8510065674781799,0.06749528646469116,-0.06301530450582504,-0.5169731378555298
Quaternion,312234,0.8512706160545349,0.06718675792217255,-0.06302087754011154,-0.5165780186653137
Quaternion,312239,0.8515369892120361,0.06689795851707458,-0.0630536749958992,-0.5161721110343933
Quaternion,312244,0.8518292307853699,0.06663327664136887,-0.06315428763628006,-0.5157116651535034
Quaternion,312249,0.8521263003349304,0.06641480326652527,-0.06326577067375183,-0.515235185623169
Quaternion,312254,0.8524265289306641,0.06613785773515701,-0.06338540464639664,-0.5147593021392822
Quaternion,312259,0.8527312874794006,0.06584571301937103,-0.06358247250318527,-0.5142674446105957
Quaternion,312264,0.8530254364013672,0.06552959233522415,-0.06384030729532242,-0.5137876868247986
Quaternion,312269,0.853312611579895,0.06524362415075302,-0.06416816264390945,-0.5133063793182373
Quaternion,312274,0.8535897731781006,0.06502041220664978,-0.06454495340585709,-0.5128262639045715
Quaternion,312280,0.853851854801178,0.06489885598421097,-0.06499813497066498,-0.5123479962348938
Quaternion,312284,0.8540939688682556,0.06489111483097076,-0.06558264791965485,-0.5118705034255981
Quaternion,312289,0.8542989492416382,0.06499660760164261,-0.06627704948186874,-0.5114255547523499
Quaternion,312294,0.8544560074806213,0.06516449898481369,-0.06705714762210846,-0.5110399723052979
Quaternion,312299,0.8545646667480469,0.06538663059473038,-0.06791739165782928,-0.5107161402702332
